Designator,Footprint,Quantity,Value,LCSC Part #
AE1,PinHeader_1x01_P2.54mm_Vertical,1,Antenna,
"C1, C7",0603,2,12pF,
"C10, C4, C6, C8, C9",0805,5,10uF,
"C11, C5",0805,2,4.7uF,
"C15, C17, C18, C19",0805,4,1uF,
"C21, C25",0805,2,1nF,
"C23, C26, C27",C_Elec_6.3x5.4,3,RVT1C101M0605,
IC1,Wio_SM1262_LoRa,1,LoRa SX1262,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,HCZZ0451-2,
J10,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,05A20L24P,
J2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Conn_01x02_Socket,
"J4, J7",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-TYPE-C-018,
J9,C60_quarter_thruboardholes,1,Conn_01x02_Socket,
L6,L_TaiTech_TMPC1265_13.5x12.5mm,1,MDA1350-220M,
L7,0603,1,CPY160808T-2R2M-NP,
"R1, R5",0805,2,1kΩ,
R14,0603,1,120kΩ,
R15,0805,1,51kΩ,
R2,0805,1,10kΩ,
"R3, R4",0603,2,33Ω,
"R6, R7",0805,2,1MΩ,
"R8, R9",0805,2,5.1kΩ,
U1,SOT-23-5,1,CL9293A12L5M,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U3,SOIC_1040T_STM-L,1,SPV1040T,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSSIQ,
U5,SOT-23-5,1,XC6219B282MR,
U6,DRY0006A,1,TPS62237,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
